City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Bethel,US,70.48,overcast clouds,41.3712,-73.414,Courtyard by Marriott Danbury
1,Rajanpur,PK,89.33,clear sky,29.1035,70.325,Style Inn Shoes Rajanpur
2,Korla,CN,58.42,overcast clouds,41.7597,86.1469,Gulisitan Hotel
3,Jamestown,US,78.03,few clouds,42.097,-79.2353,Hampton Inn & Suites Jamestown
4,Bluff,NZ,50.81,broken clouds,-46.6,168.3333,Bluff Homestead - Guesthouse & Campervan Park
5,Kahta,TR,58.37,clear sky,37.7855,38.6237,Kommagene Hotel
6,Nemuro,JP,51.19,overcast clouds,43.3236,145.575,Hotel Nemuro Kaiyoutei
9,Esqueda,MX,83.8,clear sky,30.7167,-109.5833,Hotel Esqueda
12,Dauphin,CA,78.94,clear sky,51.1494,-100.0502,Canway Inn & Suites
14,Hermanus,ZA,61.81,clear sky,-34.4187,19.2345,Misty Waves Boutique Hotel
15,Mar Del Plata,AR,55.09,scattered clouds,-38.0023,-57.5575,Gran Hotel Mar del Plata
16,Vaini,TO,78.96,broken clouds,-21.2,-175.2,Keleti Beach Resort
17,Mataura,NZ,51.48,scattered clouds,-46.1927,168.8643,Ellie's Villa
19,Mahebourg,MU,69.26,light intensity shower rain,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
20,Kaitangata,NZ,51.13,overcast clouds,-46.2817,169.8464,Kaitangata Motor Camp
21,Pinehurst,US,84.96,scattered clouds,35.1954,-79.4695,SpringHill Suites by Marriott Pinehurst Southern Pines
23,Puerto Ayora,EC,76.96,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
26,Port Elizabeth,ZA,64.09,scattered clouds,-33.918,25.5701,39 On Nile Guest House
27,Busselton,AU,51.04,overcast clouds,-33.65,115.3333,Observatory Guest House
28,Saint-Philippe,RE,69.39,scattered clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
29,Vila Franca Do Campo,PT,73.81,overcast clouds,37.7167,-25.4333,Pestana Bahia Praia
30,Plettenberg Bay,ZA,60.66,scattered clouds,-34.0527,23.3716,Thanda Vista B&B
34,Georgetown,MY,76.95,scattered clouds,5.4112,100.3354,Cititel Penang
35,Ushuaia,AR,51.42,broken clouds,-54.8,-68.3,Albatros Hotel
38,Griffith,US,72.09,mist,41.5284,-87.4237,"Motel 6 Hammond, IN - Chicago Area"
40,Teahupoo,PF,75.16,broken clouds,-17.8333,-149.2667,Vanira Lodge
42,Arraial Do Cabo,BR,73.36,broken clouds,-22.9661,-42.0278,Pousada Porto Praia
43,Carnarvon,AU,60.87,clear sky,-24.8667,113.6333,Hospitality Carnarvon
45,Bengkulu,ID,73.6,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
46,Kununurra,AU,75.18,broken clouds,-15.7667,128.7333,Hotel Kununurra
48,Nakamura,JP,64.72,clear sky,32.9833,132.9333,Hotel Crown Hills Nakamura
49,Nikolskoye,RU,52.88,clear sky,59.7035,30.7861,Tourist House - Sablino
50,Rikitea,PF,73.92,overcast clouds,-23.1203,-134.9692,People ThankYou
51,Cayenne,GF,84.24,clear sky,4.9333,-52.3333,Hôtel Le Dronmi
54,Port Alfred,ZA,65.16,scattered clouds,-33.5906,26.891,The Halyards Hotel
56,Bredasdorp,ZA,61.29,few clouds,-34.5322,20.0403,Bredasdorp Country Manor
58,Vila Velha,BR,75.15,scattered clouds,-20.3297,-40.2925,Quality Suites Vila Velha
59,Komsomolskiy,UZ,51.22,broken clouds,40.4272,71.7189,Ikathouse
62,Waddan,LY,75.27,clear sky,29.1614,16.139,محل الشريف محمد العايب
63,Asheville,US,72.27,overcast clouds,35.6009,-82.554,Four Points by Sheraton Asheville Downtown
64,East London,ZA,66.4,light rain,-33.0153,27.9116,Tu Casa
65,Tuatapere,NZ,50.83,overcast clouds,-46.1333,167.6833,Ron and Tony's Bed & Breakfast
67,Airai,TL,57.87,few clouds,-8.9266,125.4092,Juvinal Martin
68,Assiniboia,CA,76.82,overcast clouds,49.6334,-105.9845,Canalta Hotel Assiniboia
71,Lompoc,US,79.7,clear sky,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
74,Cape Town,ZA,65.88,clear sky,-33.9258,18.4232,Southern Sun Waterfront Cape Town
75,Pedernales,DO,88.29,overcast clouds,18.0384,-71.744,Hotel Costa Marina
77,Bafilo,TG,73.06,clear sky,9.35,1.2667,Hôtel Assoli
78,Hilo,US,83.28,moderate rain,19.7297,-155.09,Hilo Hawaiian Hotel
80,Shingu,JP,69.85,broken clouds,33.7333,135.9833,Shingu UI Hotel
81,Castro,BR,73.0,overcast clouds,-24.7911,-50.0119,CHACARA BAILLY
83,Bairiki,KI,82.4,scattered clouds,1.3292,172.9752,Tarawa Boutique Hotel
84,Atuona,PF,78.42,few clouds,-9.8,-139.0333,Villa Enata
85,Tinsukia,IN,71.98,clear sky,27.5,95.3667,Hotel Ballerina
88,Wanning,CN,80.17,moderate rain,18.8003,110.3967,Paradise Hotel
89,Broome,US,74.17,broken clouds,42.2506,-75.833,Chenango Valley State Park
90,Rawson,AR,59.81,clear sky,-43.3002,-65.1023,Hosteria Sampedro
91,Hasaki,JP,66.6,overcast clouds,35.7333,140.8333,Hotel Sunrise Choshi
92,Jiwani,PK,80.51,clear sky,25.05,61.7417,Al Mumtaz Transport Jiwani
93,Bandipur,NP,63.45,clear sky,27.9333,84.4167,Bandipur Guest House
95,Hirara,JP,82.45,overcast clouds,24.8,125.2833,Hotel Atoll Emerald Miyakojima
97,Kathmandu,NP,68.22,broken clouds,27.7167,85.3167,Hotel Shanker Kathmandu
99,Bambous Virieux,MU,69.22,light intensity shower rain,-20.3428,57.7575,Casa Tia Villa
100,Labuhan,ID,76.6,overcast clouds,-6.8844,112.2051,PT PPI Lamongan Tambak C
105,Omboue,GA,76.03,overcast clouds,-1.5746,9.2618,Hotel Olako
106,Arlit,NE,87.75,clear sky,18.7369,7.3853,Case de Passage De la Prefecture
107,Surt,LY,74.35,clear sky,31.2089,16.5887,الهادي ابوشعاله سرت
108,Soe,ID,63.36,scattered clouds,-9.8607,124.284,Dena Hotel
109,Milton,US,77.54,broken clouds,34.1322,-84.3007,Children's Cottage Montessori
110,Lima,PE,67.14,few clouds,-12.0432,-77.0282,Gran Hotel Bolivar Lima
111,Sehithwa,BW,79.93,broken clouds,-20.4667,22.7167,MONLEK GUEST HOUSE
112,Anloga,GH,78.87,overcast clouds,5.7947,0.8973,Pin Drop Hotel
113,Butaritari,KI,81.72,overcast clouds,3.0707,172.7902,Isles Sunset Lodge
114,Constitucion,CL,61.09,clear sky,-35.3333,-72.4167,Hotel Boutique Las Azucenas
115,Marsa Matruh,EG,71.47,clear sky,31.3525,27.2453,Beau Site
117,Jhudo,PK,84.11,overcast clouds,24.964,69.2968,Nagori Gas Stor
119,North Bend,US,61.25,scattered clouds,43.4065,-124.2243,Red Lion Hotel Coos Bay
120,Thompson,CA,55.56,broken clouds,55.7435,-97.8558,Burntwood Hotel
122,Havre De Grace,US,74.84,broken clouds,39.5493,-76.0916,Super 8 by Wyndham Havre De Grace Aberdeen Area
123,Grand Gaube,MU,69.39,light rain,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
124,Mogadishu,SO,77.97,overcast clouds,2.0371,45.3438,Hotel Juba
126,Biak,ID,74.64,overcast clouds,-0.9131,122.8766,Penginapan Kim
128,Kahului,US,84.22,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
129,Hami,CN,55.51,overcast clouds,42.8,93.45,Laoyutang Resort
131,Torbay,CA,61.27,overcast clouds,47.6666,-52.7314,Gallows Cove
132,Bambanglipuro,ID,74.57,broken clouds,-7.95,110.2833,Puri Brata
134,Bontang,ID,76.35,overcast clouds,0.1333,117.5,KOPKAR Hotel Bintang Sintuk
135,Balkanabat,TM,59.47,overcast clouds,39.5108,54.3671,Nebitchi Hotel
136,Yulara,AU,60.64,clear sky,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
138,Athens,GR,65.16,clear sky,37.9795,23.7162,Novotel Athenes
139,Victoria,HK,86.38,clear sky,22.2855,114.1577,Mini Hotel Central
140,Cordoba,AR,67.42,clear sky,-31.4135,-64.1811,Hotel Sussex
142,Clearlake,US,70.18,overcast clouds,38.9582,-122.6264,Americas Best Value Inn & Suites Clearlake Wine Country
143,Westport,US,72.46,overcast clouds,41.1415,-73.3579,The Westport Inn
147,Sinnamary,GF,82.44,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
148,Itoman,JP,78.82,few clouds,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
149,Belfast,GB,58.48,overcast clouds,54.5833,-5.9333,Wellington Park Hotel
150,Smoky Lake,CA,51.49,overcast clouds,54.1169,-112.4686,Country Garden Hotel
151,Neuquen,AR,60.69,clear sky,-38.9516,-68.0591,Hotel del Comahue
152,Gonbad-E Qabus,IR,66.15,overcast clouds,37.25,55.1672,Samin Building
154,Sabha,LY,76.53,clear sky,27.0377,14.4283,Foundation Taaj Asala for Historical Research and Archeology
155,Nassau,US,72.0,overcast clouds,40.7507,-73.5829,Hilton Garden Inn Westbury
157,Chapais,CA,69.58,overcast clouds,49.7834,-74.8492,Hôtel Opémiska
158,Serowe,BW,73.0,broken clouds,-22.3833,26.7167,Hill View Inn
159,Mengcheng,CN,56.75,light rain,33.2579,116.5655,Jinliang Hotel
161,Ancud,CL,56.73,clear sky,-41.8697,-73.8203,Hotel Arena Gruesa
162,Faya,SA,66.31,scattered clouds,18.3851,42.4509,املاك خالد الشعشوع
167,Ixtapa,MX,89.22,few clouds,20.7,-105.2,Hotel Plaza Providencia
169,Mana,GF,81.68,heavy intensity rain,5.6592,-53.7767,LE SAMANA
170,Chuy,UY,55.33,broken clouds,-33.6971,-53.4616,Nuevo Hotel Plaza
171,Tabas,IR,79.14,clear sky,33.5959,56.9244,شرکت معماری مهراز شایگان آراد
173,Dehloran,IR,83.91,clear sky,32.6941,47.2679,کافه گیم استورم
175,Fergus Falls,US,76.26,clear sky,46.283,-96.0776,AmericInn by Wyndham Fergus Falls Conference Center
176,Meulaboh,ID,76.95,overcast clouds,4.1363,96.1285,Kost Pria
177,Kapaa,US,82.72,light rain,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
179,Amahai,ID,76.95,moderate rain,-3.3333,128.9167,HOTEL ISABELA
181,Chicama,PE,63.14,few clouds,-7.8447,-79.1469,Balihai Bungalows
182,Bundaberg,AU,64.22,clear sky,-24.85,152.35,Takalvan Motel
183,Portland,US,62.74,broken clouds,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
186,Gisborne,NZ,57.94,moderate rain,-38.6533,178.0042,ASURE Alfresco Motor Lodge
187,Touros,BR,83.3,broken clouds,-5.1989,-35.4608,INN NEW HORIZON
191,Nouadhibou,MR,71.58,clear sky,20.931,-17.0347,El Medina
192,Moose Factory,CA,71.6,clear sky,51.2585,-80.6094,Moosonee Lilypad
193,Junction City,US,75.61,overcast clouds,39.0286,-96.8314,Comfort Inn & Suites Junction City - Near Fort Riley
194,Asfi,MA,70.63,overcast clouds,32.2994,-9.2372,Hôtel Abda
196,Saint Anthony,US,75.13,broken clouds,45.0205,-93.218,"Holiday Inn Express Roseville-St. Paul, an IHG Hotel"
198,Alizai,PK,74.59,clear sky,33.5383,70.3462,Alizai Rest House
201,Luangwa,ZM,79.72,clear sky,-15.6167,30.4167,Gerasimos Safari Lodge
202,San Cristobal,VE,82.58,broken clouds,7.7669,-72.225,Posada Villaven C.A.
203,Guerrero Negro,MX,76.55,broken clouds,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
204,Camacha,PT,69.22,few clouds,33.0833,-16.3333,Hotel Porto Santo & Spa
205,Morondava,MG,76.44,clear sky,-20.2833,44.2833,La Case Bambou
206,La Ronge,CA,55.65,smoke,55.1001,-105.2842,Northland Motor Hotel
208,Lorengau,PG,78.3,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
210,Acarau,BR,82.06,broken clouds,-2.8856,-40.12,castelo pizzaria
211,Sambava,MG,70.2,broken clouds,-14.2667,50.1667,Melrose
212,Yarada,IN,82.72,few clouds,17.65,83.2667,Jeevan
214,Turan,VN,77.05,moderate rain,16.0678,108.2208,Sun River Hotel
216,Harper,LR,78.26,scattered clouds,4.375,-7.7169,Screensaver
217,Halifax,CA,71.01,scattered clouds,44.6453,-63.5724,Hotel Halifax
219,Kralendijk,BQ,87.78,few clouds,12.15,-68.2667,Divi Flamingo Beach Resort & Casino
220,Fortuna,US,66.42,clear sky,40.5982,-124.1573,Super 8 by Wyndham Fortuna
222,Ampanihy,MG,62.22,clear sky,-24.7,44.75,Angora Hotel
223,Qui Nhon,VN,75.45,heavy intensity rain,13.7667,109.2333,Hoang Yen Canary Hotel
225,Kimbe,PG,74.98,overcast clouds,-5.5502,150.1429,Kimbe Bay Hotel
227,Havre-Saint-Pierre,CA,57.79,clear sky,50.2334,-63.5986,Auberge Niapiskau
229,Hithadhoo,MV,83.68,scattered clouds,-0.6,73.0833,Scoop Guest House
230,Bar Harbor,US,73.35,clear sky,44.3876,-68.2039,Atlantic Oceanside Hotel & Event Center
231,Matara,LK,78.15,scattered clouds,5.9485,80.5353,Amaloh Boutique Resort
232,Monywa,MM,82.02,clear sky,22.1167,95.1333,Monywa Hotel
235,Da Lat,VN,60.85,overcast clouds,11.9465,108.4419,Khách Sạn Dragon King I
236,Bembereke,BJ,77.7,overcast clouds,10.2283,2.6634,Hotel Bio Guera
