City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain inches (last 3 hours),Snow inches (last 3 hours)
0,Bethel,US,2021-10-06 20:19:57,41.3712,-73.414,70.48,79,90,3.44,overcast clouds,0,0
1,Rajanpur,PK,2021-10-06 20:15:28,29.1035,70.325,89.33,31,0,5.57,clear sky,0,0
2,Korla,CN,2021-10-06 20:20:01,41.7597,86.1469,58.42,32,100,4.12,overcast clouds,0,0
3,Jamestown,US,2021-10-06 20:17:00,42.097,-79.2353,78.03,64,20,7.0,few clouds,0,0
4,Bluff,NZ,2021-10-06 20:20:03,-46.6,168.3333,50.81,93,69,4.43,broken clouds,0,0
5,Kahta,TR,2021-10-06 20:20:04,37.7855,38.6237,58.37,33,0,5.03,clear sky,0,0
6,Nemuro,JP,2021-10-06 20:20:04,43.3236,145.575,51.19,63,100,8.9,overcast clouds,0,0
7,Qaqortoq,GL,2021-10-06 20:20:05,60.7167,-46.0333,45.1,55,100,7.9,overcast clouds,0,0
8,Beisfjord,NO,2021-10-06 20:20:06,68.3751,17.5988,48.04,94,100,4.27,overcast clouds,0,0
9,Esqueda,MX,2021-10-06 20:20:07,30.7167,-109.5833,83.8,20,0,12.35,clear sky,0,0
10,Providencia,MX,2021-10-06 20:20:09,28.7167,-111.5833,98.65,29,0,1.99,clear sky,0,0
11,Punta Arenas,CL,2021-10-06 20:20:14,-53.15,-70.9167,48.22,81,75,26.46,light intensity shower rain,0,0
12,Dauphin,CA,2021-10-06 20:20:14,51.1494,-100.0502,78.94,29,1,14.97,clear sky,0,0
13,Tuktoyaktuk,CA,2021-10-06 20:19:58,69.4541,-133.0374,35.6,69,20,12.66,few clouds,0,0
14,Hermanus,ZA,2021-10-06 20:20:15,-34.4187,19.2345,61.81,85,2,17.02,clear sky,0,0
15,Mar Del Plata,AR,2021-10-06 20:20:15,-38.0023,-57.5575,55.09,62,40,11.99,scattered clouds,0,0
16,Vaini,TO,2021-10-06 20:20:16,-21.2,-175.2,78.96,83,75,8.05,broken clouds,0,0
17,Mataura,NZ,2021-10-06 20:20:16,-46.1927,168.8643,51.48,83,36,2.24,scattered clouds,0,0
18,Adrar,MR,2021-10-06 20:20:16,20.5022,-10.0711,95.23,15,66,8.19,broken clouds,0,0
19,Mahebourg,MU,2021-10-06 20:20:17,-20.4081,57.7,69.26,94,75,3.44,light intensity shower rain,0,0
20,Kaitangata,NZ,2021-10-06 20:20:17,-46.2817,169.8464,51.13,88,100,1.81,overcast clouds,0,0
21,Pinehurst,US,2021-10-06 20:20:18,35.1954,-79.4695,84.96,64,40,9.22,scattered clouds,0,0
22,Grindavik,IS,2021-10-06 20:20:19,63.8424,-22.4338,44.55,70,75,21.85,broken clouds,0,0
23,Puerto Ayora,EC,2021-10-06 20:20:19,-0.7393,-90.3518,76.96,88,92,7.0,overcast clouds,0,0
24,Talnakh,RU,2021-10-06 20:20:20,69.4865,88.3972,35.26,100,100,5.35,light rain,0,0
